date,age_grp,gender,card_cnt
9/26/2016,40_65,M,1
9/26/2016,66_abv,F,1
9/26/2016,66_abv,M,1
9/27/2016,40_65,F,2
9/27/2016,40_65,M,1
9/27/2016,66_abv,F,1
9/28/2016,20_39,M,1
9/29/2016,40_65,F,3
9/29/2016,40_65,M,1
9/29/2016,66_abv,F,1
9/30/2016,20_39,F,1
9/30/2016,40_65,M,2
9/30/2016,66_abv,F,2
9/30/2016,66_abv,M,1
10/1/2016,20_39,F,1
10/1/2016,40_65,F,1
10/1/2016,66_abv,M,1
10/2/2016,66_abv,F,1
10/2/2016,66_abv,M,1
10/3/2016,20_39,F,1
10/3/2016,40_65,F,2
10/3/2016,40_65,M,1
10/4/2016,20_39,F,1
10/4/2016,40_65,F,1
10/4/2016,66_abv,F,3
10/4/2016,66_abv,M,1
10/5/2016,20_39,F,1
10/5/2016,40_65,F,2
10/5/2016,66_abv,F,1
10/6/2016,40_65,F,1
10/6/2016,40_65,M,2
10/6/2016,66_abv,F,1
10/6/2016,66_abv,M,1
10/7/2016,40_65,F,1
10/7/2016,40_65,M,1
10/8/2016,40_65,F,3
10/9/2016,40_65,F,1
10/9/2016,40_65,M,1
10/9/2016,66_abv,M,1
10/10/2016,40_65,F,1
10/10/2016,40_65,M,1
10/10/2016,66_abv,F,1
10/11/2016,40_65,F,1
10/11/2016,66_abv,F,1
10/11/2016,66_abv,M,1
10/12/2016,40_65,F,1
10/12/2016,40_65,M,1
10/12/2016,66_abv,F,3
10/12/2016,66_abv,M,2
10/13/2016,40_65,F,1
10/13/2016,40_65,M,1
10/14/2016,40_65,F,2
10/14/2016,40_65,M,1
10/14/2016,66_abv,F,1
10/15/2016,40_65,M,1
10/15/2016,66_abv,F,2
10/16/2016,40_65,F,1
10/16/2016,40_65,M,1
10/17/2016,40_65,F,3
10/17/2016,40_65,M,1
10/17/2016,66_abv,M,2
10/18/2016,40_65,M,1
10/18/2016,66_abv,F,4
10/19/2016,40_65,F,1
10/19/2016,40_65,M,1
10/19/2016,66_abv,F,2
10/20/2016,20_39,F,1
10/20/2016,20_39,M,1
10/20/2016,40_65,F,3
10/21/2016,40_65,F,1
10/21/2016,66_abv,F,2
10/22/2016,40_65,F,1
10/22/2016,66_abv,F,2
10/23/2016,40_65,F,2
10/23/2016,66_abv,F,1
10/24/2016,40_65,M,1
10/24/2016,66_abv,F,3
10/25/2016,40_65,F,2
10/25/2016,66_abv,F,3
10/26/2016,40_65,M,2
10/26/2016,66_abv,F,3
10/27/2016,20_39,F,1
10/27/2016,40_65,M,1
10/27/2016,66_abv,F,3
